wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
1.95444,0.19133,0.19114,0.19246,0.19155,0.19167,0.19225,0.19193,0.19220,0.19263
1.96104,0.19569,0.19561,0.19695,0.19559,0.19593,0.19685,0.19581,0.19612,0.19687
1.96764,0.21188,0.21191,0.21355,0.21208,0.21236,0.21332,0.21251,0.21249,0.21350
1.97424,0.23216,0.23195,0.23343,0.23175,0.23208,0.23311,0.23257,0.23257,0.23327
1.98084,0.24126,0.24139,0.24284,0.24124,0.24151,0.24232,0.24192,0.24200,0.24249
1.98743,0.23669,0.23645,0.23745,0.23679,0.23657,0.23722,0.23755,0.23723,0.23748
1.99403,0.20221,0.20196,0.20291,0.20273,0.20259,0.20269,0.20286,0.20280,0.20259
2.00063,0.15699,0.15709,0.15777,0.15717,0.15715,0.15750,0.15759,0.15742,0.15740
2.00723,0.14314,0.14329,0.14400,0.14295,0.14303,0.14363,0.14324,0.14322,0.14344
2.01383,0.15981,0.16074,0.16180,0.16028,0.16064,0.16083,0.16087,0.16075,0.16085
2.02043,0.19195,0.19252,0.19376,0.19236,0.19251,0.19322,0.19282,0.19313,0.19341
2.02703,0.21566,0.21600,0.21733,0.21586,0.21622,0.21686,0.21607,0.21627,0.21662
2.03363,0.22316,0.22354,0.22466,0.22342,0.22347,0.22412,0.22394,0.22384,0.22414
2.04024,0.22183,0.22189,0.22321,0.22213,0.22211,0.22272,0.22255,0.22253,0.22292
2.04684,0.21106,0.21103,0.21194,0.21094,0.21102,0.21156,0.21145,0.21141,0.21182
2.05344,0.20251,0.20217,0.20342,0.20255,0.20256,0.20333,0.20277,0.20258,0.20318
2.06004,0.20479,0.20465,0.20609,0.20470,0.20471,0.20583,0.20519,0.20550,0.20604
2.06664,0.20978,0.20949,0.21090,0.20958,0.20963,0.21060,0.20979,0.21000,0.21052
2.07325,0.21889,0.21849,0.22011,0.21889,0.21915,0.22011,0.21937,0.21945,0.21990
2.07985,0.22698,0.22673,0.22858,0.22698,0.22710,0.22814,0.22725,0.22737,0.22792
2.08645,0.23370,0.23299,0.23536,0.23347,0.23378,0.23496,0.23411,0.23418,0.23463
2.09306,0.23957,0.23872,0.24121,0.23931,0.23958,0.24103,0.23988,0.23992,0.24078
2.09966,0.24503,0.24449,0.24687,0.24530,0.24514,0.24645,0.24549,0.24525,0.24579
2.10627,0.24926,0.24872,0.25114,0.24923,0.24924,0.25042,0.24934,0.24930,0.24996
2.11287,0.25309,0.25237,0.25449,0.25319,0.25309,0.25419,0.25329,0.25326,0.25381
2.11948,0.25741,0.25659,0.25899,0.25775,0.25784,0.25863,0.25778,0.25810,0.25823
2.12608,0.26064,0.26017,0.26257,0.26099,0.26075,0.26169,0.26092,0.26117,0.26142
2.13269,0.26085,0.26042,0.26309,0.26148,0.26129,0.26222,0.26160,0.26175,0.26215
2.13930,0.25898,0.25841,0.26048,0.25930,0.25885,0.25987,0.25939,0.25948,0.25966
2.14590,0.25717,0.25652,0.25877,0.25802,0.25751,0.25853,0.25772,0.25791,0.25812
2.15251,0.25711,0.25657,0.25884,0.25755,0.25724,0.25844,0.25765,0.25760,0.25798
2.15912,0.25802,0.25734,0.26017,0.25822,0.25794,0.25932,0.25843,0.25861,0.25889
2.16572,0.25963,0.25910,0.26149,0.26000,0.25970,0.26096,0.26045,0.26067,0.26077
2.17233,0.26209,0.26160,0.26445,0.26235,0.26222,0.26356,0.26303,0.26332,0.26348
2.17894,0.26307,0.26234,0.26507,0.26337,0.26307,0.26428,0.26353,0.26365,0.26406
2.18555,0.26463,0.26306,0.26528,0.26411,0.26373,0.26496,0.26396,0.26436,0.26475
2.19216,0.26347,0.26240,0.26496,0.26313,0.26261,0.26400,0.26390,0.26373,0.26391
2.19877,0.26379,0.26270,0.26530,0.26357,0.26358,0.26467,0.26404,0.26438,0.26473
2.20538,0.26405,0.26307,0.26554,0.26387,0.26370,0.26502,0.26419,0.26434,0.26493
2.21199,0.26502,0.26361,0.26633,0.26467,0.26458,0.26559,0.26509,0.26508,0.26572
2.21860,0.26541,0.26414,0.26688,0.26532,0.26507,0.26603,0.26571,0.26594,0.26632
2.22521,0.26558,0.26446,0.26725,0.26549,0.26525,0.26659,0.26574,0.26580,0.26631
2.23182,0.26626,0.26495,0.26732,0.26595,0.26558,0.26672,0.26589,0.26609,0.26673
2.23843,0.26590,0.26467,0.26766,0.26597,0.26567,0.26672,0.26640,0.26627,0.26656
2.24504,0.26688,0.26552,0.26803,0.26658,0.26619,0.26714,0.26670,0.26675,0.26728
2.25165,0.26604,0.26487,0.26747,0.26615,0.26600,0.26699,0.26669,0.26676,0.26692
