wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
2.57571,0.28316,0.28574,0.28914,0.28304,0.28647,0.28858,0.28291,0.28520,0.28885
2.58231,0.27972,0.28178,0.28509,0.27946,0.28228,0.28483,0.27936,0.28082,0.28488
2.58891,0.27651,0.27920,0.28250,0.27648,0.27908,0.28149,0.27629,0.27803,0.28201
2.59551,0.27359,0.27705,0.28035,0.27371,0.27683,0.27956,0.27366,0.27529,0.27942
2.60212,0.27308,0.27594,0.27937,0.27316,0.27613,0.27831,0.27332,0.27495,0.27885
2.60872,0.27368,0.27689,0.28031,0.27345,0.27661,0.27887,0.27381,0.27519,0.27860
2.61532,0.27412,0.27688,0.28008,0.27365,0.27604,0.27858,0.27366,0.27507,0.27856
2.62192,0.27437,0.27730,0.28041,0.27423,0.27740,0.27985,0.27436,0.27577,0.27909
2.62853,0.27550,0.27830,0.28110,0.27533,0.27813,0.28036,0.27497,0.27688,0.28006
2.63513,0.27483,0.27786,0.28084,0.27452,0.27771,0.28023,0.27491,0.27667,0.27994
2.64174,0.27022,0.27299,0.27559,0.27004,0.27330,0.27520,0.27031,0.27191,0.27515
2.64834,0.25587,0.25810,0.26091,0.25541,0.25792,0.26007,0.25531,0.25693,0.25954
2.65495,0.21725,0.21891,0.22071,0.21718,0.21916,0.22038,0.21773,0.21858,0.22042
2.66155,0.14487,0.14571,0.14650,0.14472,0.14589,0.14638,0.14535,0.14556,0.14616
2.66816,0.06606,0.06588,0.06611,0.06623,0.06624,0.06634,0.06634,0.06622,0.06623
2.67476,0.02662,0.02623,0.02579,0.02660,0.02680,0.02643,0.02655,0.02677,0.02675
2.68137,0.01727,0.01774,0.01776,0.01746,0.01780,0.01785,0.01777,0.01772,0.01774
2.68798,0.01973,0.01967,0.01982,0.01954,0.01994,0.02006,0.01949,0.01989,0.01986
2.69458,0.07083,0.07046,0.07108,0.06995,0.07130,0.07181,0.07056,0.07261,0.07216
2.70119,0.31661,0.31304,0.31687,0.31042,0.31782,0.32101,0.31244,0.32536,0.32196
2.76068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.76729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.77390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.78052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.78713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.79374,0.00941,0.00915,0.00940,0.00905,0.00934,0.00957,0.00907,0.00954,0.00950
2.80035,0.01391,0.01353,0.01379,0.01344,0.01390,0.01420,0.01346,0.01432,0.01430
2.80697,0.01908,0.01872,0.01912,0.01847,0.01917,0.01962,0.01863,0.01988,0.01979
2.81358,0.02404,0.02366,0.02414,0.02341,0.02425,0.02465,0.02366,0.02511,0.02482
2.82020,0.02889,0.02842,0.02887,0.02835,0.02887,0.02933,0.02851,0.02982,0.02948
2.82681,0.03299,0.03244,0.03294,0.03254,0.03271,0.03325,0.03224,0.03395,0.03342
2.83343,0.03619,0.03572,0.03618,0.03571,0.03588,0.03650,0.03525,0.03706,0.03647
2.84004,0.03875,0.03849,0.03880,0.03824,0.03857,0.03918,0.03769,0.03962,0.03894
2.84666,0.04114,0.04114,0.04129,0.04076,0.04143,0.04173,0.04006,0.04240,0.04130
2.85328,0.04404,0.04382,0.04409,0.04379,0.04428,0.04456,0.04303,0.04529,0.04406
2.85989,0.04708,0.04693,0.04731,0.04716,0.04732,0.04766,0.04619,0.04827,0.04702
2.86651,0.04989,0.04985,0.05034,0.05019,0.05020,0.05063,0.04909,0.05103,0.05001
2.87313,0.05242,0.05242,0.05277,0.05284,0.05252,0.05308,0.05144,0.05333,0.05256
2.87975,0.05467,0.05448,0.05505,0.05488,0.05464,0.05496,0.05340,0.05550,0.05472
